CountyFIPS,Year,PopulationDensity
00-000,2004,292892127
00-000,2005,295560549
00-000,2006,298362973
00-000,2007,301290332
00-000,2008,304059724
00-000,2009,307006550
00-000,2010,308758105
00-000,2010,309327143
00-000,2010,308745538
00-000,2011,311583481
00-000,2012,313877662
00-000,2013,316059947
00-000,2013,316128839
00-000,2014,318386329
00-000,2015,320738994
00-000,2016,323071755
00-000,2017,325122128
00-000,2018,326838199
00-000,2019,328329953
00-000,2020,329484123
01-000,2004,4510588
01-000,2005,4542912
01-000,2006,4594911
01-000,2007,4634063
01-000,2008,4673889
01-000,2009,4707496
01-000,2010,4785514
01-000,2010,4779736
01-000,2010,4780118
01-000,2011,4799642
01-000,2012,4816632
01-000,2013,4831586
01-000,2014,4843737
01-000,2015,4854803
01-000,2016,4866824
01-000,2017,4877989
01-000,2018,4891628
01-000,2019,4907965
01-000,2020,4921532
01-001,2004,48366
01-001,2005,49676
01-001,2006,51328
01-001,2007,52405
01-001,2008,53277
01-001,2009,54135
01-001,2010,54761
01-001,2010,54582
01-001,2010,54571
01-001,2011,55229
01-001,2012,54970
01-001,2013,54747
01-001,2014,54922
01-001,2015,54903
01-001,2016,55302
01-001,2017,55448
01-001,2018,55533
01-001,2019,55769
01-001,2020,56145
01-003,2004,156266
01-003,2005,162183
01-003,2006,168121
01-003,2007,172404
01-003,2008,175827
01-003,2009,179406
01-003,2010,183121
01-003,2010,182263
01-003,2010,182265
01-003,2011,186579
01-003,2012,190203
01-003,2013,194978
01-003,2014,199306
01-003,2015,203101
01-003,2016,207787
01-003,2017,212737
01-003,2018,218071
01-003,2019,223565
01-003,2020,229287
01-005,2004,28287
01-005,2005,28027
01-005,2006,27861
01-005,2007,27757
01-005,2008,27808
01-005,2009,27657
01-005,2010,27325
01-005,2010,27454
01-005,2010,27457
01-005,2011,27344
01-005,2012,27172
01-005,2013,26946
01-005,2014,26768
01-005,2015,26300
01-005,2016,25828
01-005,2017,25169
01-005,2018,24887
01-005,2019,24657
01-005,2020,24589
01-007,2004,21721
01-007,2005,22042
01-007,2006,22099
01-007,2007,22438
01-007,2008,22705
01-007,2009,22941
01-007,2010,22858
01-007,2010,22904
01-007,2010,22915
01-007,2011,22736
01-007,2012,22657
01-007,2013,22510
01-007,2014,22541
01-007,2015,22553
01-007,2016,22590
01-007,2017,22532
01-007,2018,22300
01-007,2019,22313
01-007,2020,22136
01-009,2004,54124
01-009,2005,54624
01-009,2006,55485
01-009,2007,56240
01-009,2008,57055
01-009,2009,57341
01-009,2010,57372
01-009,2010,57322
01-009,2010,57322
01-009,2011,57561
01-009,2012,57585
01-009,2013,57630
01-009,2014,57536
01-009,2015,57535
01-009,2016,57487
01-009,2017,57801
01-009,2018,57770
01-009,2019,57840
01-009,2020,57879
01-011,2004,11056
01-011,2005,11011
01-011,2006,10776
01-011,2007,11011
01-011,2008,10953
01-011,2009,10987
01-011,2010,10876
01-011,2010,10914
01-011,2010,10913
01-011,2011,10680
01-011,2012,10610
01-011,2013,10557
01-011,2014,10668
01-011,2015,10404
01-011,2016,10397
01-011,2017,10181
01-011,2018,10165
01-011,2019,10144
01-011,2020,9976
01-013,2004,20870
01-013,2005,20830
01-013,2006,20815
01-013,2007,20894
01-013,2008,20949
01-013,2009,20867
01-013,2010,20933
01-013,2010,20940
01-013,2010,20947
01-013,2011,20867
01-013,2012,20672
01-013,2013,20359
01-013,2014,20332
01-013,2015,20168
01-013,2016,20040
01-013,2017,19911
01-013,2018,19675
01-013,2019,19501
01-013,2020,19504
01-015,2004,113462
01-015,2005,114477
01-015,2006,115388
01-015,2007,116211
01-015,2008,117274
01-015,2009,118363
01-015,2010,118420
01-015,2010,118533
01-015,2010,118572
01-015,2011,117767
01-015,2012,117227
01-015,2013,116528
01-015,2014,115991
01-015,2015,115550
01-015,2016,115036
01-015,2017,114746
01-015,2018,114298
01-015,2019,114070
01-015,2020,113469
01-017,2004,35463
01-017,2005,35279
01-017,2006,34945
01-017,2007,34847
01-017,2008,34563
01-017,2009,34384
01-017,2010,34105
01-017,2010,34154
01-017,2010,34215
01-017,2011,34016
01-017,2012,34088
01-017,2013,34125
01-017,2014,33964
01-017,2015,33991
01-017,2016,33742
01-017,2017,33716
01-017,2018,33570
01-017,2019,33244
01-017,2020,32865
01-019,2004,24887
01-019,2005,25031
01-019,2006,25466
01-019,2007,25553
01-019,2008,25636
01-019,2009,25854
01-019,2010,25968
01-019,2010,25984
01-019,2010,25989
01-019,2011,25993
01-019,2012,25961
01-019,2013,26022
01-019,2014,25900
01-019,2015,25739
01-019,2016,25769
01-019,2017,25822
01-019,2018,26035
01-019,2019,26254
01-019,2020,26294
01-021,2004,41534
01-021,2005,41946
01-021,2006,42318
01-021,2007,42881
01-021,2008,43239
01-021,2009,43484
01-021,2010,43645
01-021,2010,43625
01-021,2010,43643
01-021,2011,43682
01-021,2012,43572
01-021,2013,43617
01-021,2014,43751
01-021,2015,43693
01-021,2016,43854
01-021,2017,44085
01-021,2018,44084
01-021,2019,44313
01-021,2020,44397
01-023,2004,14930
01-023,2005,14545
01-023,2006,14431
01-023,2007,14216
01-023,2008,14114
01-023,2009,13976
01-023,2010,13848
01-023,2010,13858
01-023,2010,13859
01-023,2011,13608
01-023,2012,13565
01-023,2013,13401
01-023,2014,13322
01-023,2015,13237
01-023,2016,13049
01-023,2017,12923
01-023,2018,12810
01-023,2019,12577
01-023,2020,12418
01-025,2004,26958
01-025,2005,26764
01-025,2006,26755
01-025,2007,26436
01-025,2008,26283
01-025,2009,26038
01-025,2010,25767
01-025,2010,25834
01-025,2010,25833
01-025,2011,25589
01-025,2012,25161
01-025,2013,25131
01-025,2014,24873
01-025,2015,24711
01-025,2016,24342
01-025,2017,24083
01-025,2018,23965
01-025,2019,23651
01-025,2020,23291
01-027,2004,14121
01-027,2005,14077
01-027,2006,14053
01-027,2007,14085
01-027,2008,14161
01-027,2009,14006
01-027,2010,13897
01-027,2010,13930
01-027,2010,13932
01-027,2011,13687
01-027,2012,13433
01-027,2013,13406
01-027,2014,13443
01-027,2015,13415
01-027,2016,13393
01-027,2017,13355
01-027,2018,13301
01-027,2019,13265
01-027,2020,13112
01-029,2004,14339
01-029,2005,14368
01-029,2006,14538
01-029,2007,14799
01-029,2008,14874
01-029,2009,14918
01-029,2010,15004
01-029,2010,14972
01-029,2010,14972
01-029,2011,14928
01-029,2012,14889
01-029,2013,14974
01-029,2014,15029
01-029,2015,14923
01-029,2016,14871
01-029,2017,14924
01-029,2018,15047
01-029,2019,14952
01-029,2020,14967
01-031,2004,45053
01-031,2005,45604
01-031,2006,46228
01-031,2007,47458
01-031,2008,48516
01-031,2009,49440
01-031,2010,50204
01-031,2010,49948
01-031,2010,49951
01-031,2011,50449
01-031,2012,51159
01-031,2013,50709
01-031,2014,50693
01-031,2015,51004
01-031,2016,51281
01-031,2017,51943
01-031,2018,52097
01-031,2019,52639
01-031,2020,53230
01-033,2004,54380
01-033,2005,54359
01-033,2006,54413
01-033,2007,54486
01-033,2008,54473
01-033,2009,54426
01-033,2010,54527
01-033,2010,54430
01-033,2010,54428
01-033,2011,54545
01-033,2012,54578
01-033,2013,54544
01-033,2014,54484
01-033,2015,54439
01-033,2016,54483
01-033,2017,54682
01-033,2018,54970
01-033,2019,55241
01-033,2020,55411
01-035,2004,13430
01-035,2005,13421
01-035,2006,13603
01-035,2007,13441
01-035,2008,13388
01-035,2009,13274
01-035,2010,13234
01-035,2010,13228
01-035,2010,13232
01-035,2011,13194
01-035,2012,13043
01-035,2013,12908
01-035,2014,12674
01-035,2015,12677
01-035,2016,12495
01-035,2017,12431
01-035,2018,12264
01-035,2019,12055
01-035,2020,11851
01-037,2004,11560
01-037,2005,11467
01-037,2006,11451
01-037,2007,11439
01-037,2008,11493
01-037,2009,11410
01-037,2010,11779
01-037,2010,11756
01-037,2010,11539
01-037,2011,11483
01-037,2012,11343
01-037,2013,11252
01-037,2014,11037
01-037,2015,10935
01-037,2016,10812
01-037,2017,10724
01-037,2018,10619
01-037,2019,10677
01-037,2020,10650
01-039,2004,36806
01-039,2005,37204
01-039,2006,37441
01-039,2007,37631
01-039,2008,37545
01-039,2009,37648
01-039,2010,37810
01-039,2010,37762
01-039,2010,37765
01-039,2011,38023
01-039,2012,37809
01-039,2013,37820
01-039,2014,37766
01-039,2015,37566
01-039,2016,37400
01-039,2017,37077
01-039,2018,36993
01-039,2019,37082
01-039,2020,36930
01-041,2004,13727
01-041,2005,13699
01-041,2006,13880
01-041,2007,13956
01-041,2008,13922
01-041,2009,14024
01-041,2010,13868
01-041,2010,13906
01-041,2010,13891
01-041,2011,13894
01-041,2012,13914
01-041,2013,13847
01-041,2014,13851
01-041,2015,13851
01-041,2016,13911
01-041,2017,13871
01-041,2018,13855
01-041,2019,13811
01-041,2020,13681
01-043,2004,78131
01-043,2005,78692
01-043,2006,79044
01-043,2007,79576
01-043,2008,80273
01-043,2009,80351
01-043,2010,80456
01-043,2010,80404
01-043,2010,80406
01-043,2011,80419
01-043,2012,80292
01-043,2013,80704
01-043,2014,81081
01-043,2015,81771
01-043,2016,82434
01-043,2017,82830
01-043,2018,83300
01-043,2019,83644
01-043,2020,84515
01-045,2004,49245
01-045,2005,49050
01-045,2006,49077
01-045,2007,49488
01-045,2008,49871
01-045,2009,49854
01-045,2010,50396
01-045,2010,50253
01-045,2010,50251
01-045,2011,50134
01-045,2012,50313
01-045,2013,49807
01-045,2014,49465
01-045,2015,49428
01-045,2016,49476
01-045,2017,49467
01-045,2018,49268
01-045,2019,49294
01-045,2020,48959
01-047,2004,44795
01-047,2005,44434
01-047,2006,44323
01-047,2007,44194
01-047,2008,44265
01-047,2009,43759
01-047,2010,43855
01-047,2010,43813
01-047,2010,43820
01-047,2011,43254
01-047,2012,42794
01-047,2013,41981
01-047,2014,41560
01-047,2015,40947
01-047,2016,40105
01-047,2017,39263
01-047,2018,38270
01-047,2019,37182
01-047,2020,36098
01-049,2004,67260
01-049,2005,67794
01-049,2006,68495
01-049,2007,69450
01-049,2008,70228
01-049,2009,70864
01-049,2010,71133
01-049,2010,71090
01-049,2010,71109
01-049,2011,71335
01-049,2012,70913
01-049,2013,70881
01-049,2014,70963
01-049,2015,71065
01-049,2016,71116
01-049,2017,71441
01-049,2018,71430
01-049,2019,71506
01-049,2020,71658
01-051,2004,71018
01-051,2005,72978
01-051,2006,75246
01-051,2007,77124
01-051,2008,77698
01-051,2009,78632
01-051,2010,79558
01-051,2010,79279
01-051,2010,79303
01-051,2011,80005
01-051,2012,80211
01-051,2013,80557
01-051,2014,80563
01-051,2015,80903
01-051,2016,81258
01-051,2017,81452
01-051,2018,81189
01-051,2019,81575
01-051,2020,82158
01-053,2004,37713
01-053,2005,37601
01-053,2006,37673
01-053,2007,37839
01-053,2008,37929
01-053,2009,38249
01-053,2010,38352
01-053,2010,38319
01-053,2010,38325
01-053,2011,38211
