CountyFIPS,Year,WaterBodyProximity
41019,2020,2
26163,2020,1
24003,2020,1
24003,2020,5
24003,2020,1
51153,2020,1
51013,2020,1
51013,2020,2
51013,2020,1
51013,2020,1
2090,2020,1
1003,2020,1
1003,2020,1
1101,2020,1
1101,2020,1
1003,2020,1
26163,2020,1
1003,2020,1
42011,2020,1
24017,2020,1
24017,2020,1
24031,2020,1
12105,2020,1
12105,2020,1
25021,2020,1
26163,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
26163,2020,1
6037,2020,1
6037,2020,13
6037,2020,6
49049,2020,1
27123,2020,1
50007,2020,2
27137,2020,1
27137,2020,1
26163,2020,1
26163,2020,1
36061,2020,1
2090,2020,1
2090,2020,1
41039,2020,1
41039,2020,1
41043,2020,1
41043,2020,1
41043,2020,1
53049,2020,1
53045,2020,1
41039,2020,1
41039,2020,1
41005,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41005,2020,2
41051,2020,1
41051,2020,1
53059,2020,1
41005,2020,1
41005,2020,1
53059,2020,2
41027,2020,1
41027,2020,1
41065,2020,1
41049,2020,1
41049,2020,1
16069,2020,1
56037,2020,1
29011,2020,1
40021,2020,1
40021,2020,1
40021,2020,1
40021,2020,1
37183,2020,1
37183,2020,1
26163,2020,1
26163,2020,1
8013,2020,3
26163,2020,1
9009,2020,1
25017,2020,1
9009,2020,1
6053,2020,2
53053,2020,1
24031,2020,1
24033,2020,1
9009,2020,1
9009,2020,1
NA,2020,1
26163,2020,1
26163,2020,1
26163,2020,1
48201,2020,1
48201,2020,3
9009,2020,1
9009,2020,1
9009,2020,1
6053,2020,1
9009,2020,1
48491,2020,1
27053,2020,1
27053,2020,1
26065,2020,1
12081,2020,1
12081,2020,2
12081,2020,1
37173,2020,1
54019,2020,1
24023,2020,1
24023,2020,1
24023,2020,1
26163,2020,1
26163,2020,1
24031,2020,1
24021,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
24031,2020,1
