county_FIPS,NAME,Percent_Uninsured,Year
Geography,Geographic Area Name,Percent Uninsured!!Estimate!!Total civilian noninstitutionalized population,2010
0100000US,United States,15.5,2010
0500000US01003,"Baldwin County, Alabama",17.8,2010
0500000US01015,"Calhoun County, Alabama",14.0,2010
0500000US01043,"Cullman County, Alabama",15.6,2010
0500000US01049,"DeKalb County, Alabama",16.3,2010
0500000US01051,"Elmore County, Alabama",10.9,2010
0500000US01055,"Etowah County, Alabama",17.5,2010
0500000US01069,"Houston County, Alabama",14.9,2010
0500000US01073,"Jefferson County, Alabama",14.1,2010
0500000US01077,"Lauderdale County, Alabama",11.9,2010
0500000US01081,"Lee County, Alabama",12.6,2010
0500000US01083,"Limestone County, Alabama",13.0,2010
0500000US01089,"Madison County, Alabama",12.5,2010
0500000US01095,"Marshall County, Alabama",17.5,2010
0500000US01097,"Mobile County, Alabama",16.6,2010
0500000US01101,"Montgomery County, Alabama",13.8,2010
0500000US01103,"Morgan County, Alabama",16.9,2010
0500000US01115,"St. Clair County, Alabama",10.7,2010
0500000US01117,"Shelby County, Alabama",10.7,2010
0500000US01121,"Talladega County, Alabama",13.9,2010
0500000US01125,"Tuscaloosa County, Alabama",15.3,2010
0500000US01127,"Walker County, Alabama",15.4,2010
0500000US02020,"Anchorage Municipality, Alaska",16.6,2010
0500000US02090,"Fairbanks North Star Borough, Alaska",14.9,2010
0500000US02170,"Matanuska-Susitna Borough, Alaska",18.6,2010
0500000US04001,"Apache County, Arizona",24.8,2010
0500000US04003,"Cochise County, Arizona",12.3,2010
0500000US04005,"Coconino County, Arizona",19.9,2010
0500000US04013,"Maricopa County, Arizona",17.1,2010
0500000US04015,"Mohave County, Arizona",16.6,2010
0500000US04017,"Navajo County, Arizona",15.4,2010
0500000US04019,"Pima County, Arizona",15.2,2010
0500000US04021,"Pinal County, Arizona",16.5,2010
0500000US04025,"Yavapai County, Arizona",15.2,2010
0500000US04027,"Yuma County, Arizona",19.8,2010
0500000US05007,"Benton County, Arkansas",14.9,2010
0500000US05031,"Craighead County, Arkansas",18.8,2010
0500000US05045,"Faulkner County, Arkansas",15.3,2010
0500000US05051,"Garland County, Arkansas",21.3,2010
0500000US05069,"Jefferson County, Arkansas",14.7,2010
0500000US05085,"Lonoke County, Arkansas",18.0,2010
0500000US05119,"Pulaski County, Arkansas",16.7,2010
0500000US05125,"Saline County, Arkansas",12.2,2010
0500000US05131,"Sebastian County, Arkansas",20.6,2010
0500000US05143,"Washington County, Arkansas",21.0,2010
0500000US05145,"White County, Arkansas",17.5,2010
0500000US06001,"Alameda County, California",13.3,2010
0500000US06007,"Butte County, California",15.9,2010
0500000US06013,"Contra Costa County, California",12.6,2010
0500000US06017,"El Dorado County, California",10.1,2010
0500000US06019,"Fresno County, California",20.1,2010
0500000US06023,"Humboldt County, California",17.9,2010
0500000US06025,"Imperial County, California",20.9,2010
0500000US06029,"Kern County, California",22.2,2010
0500000US06031,"Kings County, California",18.0,2010
0500000US06033,"Lake County, California",19.8,2010
0500000US06037,"Los Angeles County, California",23.5,2010
0500000US06039,"Madera County, California",19.4,2010
0500000US06041,"Marin County, California",8.4,2010
0500000US06045,"Mendocino County, California",17.0,2010
0500000US06047,"Merced County, California",19.5,2010
0500000US06053,"Monterey County, California",22.4,2010
0500000US06055,"Napa County, California",16.1,2010
0500000US06057,"Nevada County, California",16.8,2010
0500000US06059,"Orange County, California",18.0,2010
0500000US06061,"Placer County, California",9.3,2010
0500000US06065,"Riverside County, California",21.1,2010
