CountyFIPS,Year,TotalAnnualPrecipitation
AL-001,2004,771.5999999999999
AL-001,2005,768.3
AL-001,2006,779.5999999999999
AL-001,2007,783.0999999999999
AL-001,2008,765.4999999999999
AL-001,2009,765.3
AL-001,2010,763.1
AL-001,2011,775.9
AL-001,2012,787.9
AL-001,2013,761.9000000000001
AL-001,2014,755.4
AL-001,2015,788.5
AL-001,2016,793.3999999999999
AL-001,2017,789.2
AL-001,2018,781.9000000000001
AL-001,2019,800.9000000000001
AL-001,2020,794.8
AL-003,2004,805.7
AL-003,2005,808.4
AL-003,2006,818.3
AL-003,2007,815.1000000000001
AL-003,2008,802.8000000000001
AL-003,2009,806.1
AL-003,2010,792.7
AL-003,2011,812.7999999999998
AL-003,2012,824.4999999999999
AL-003,2013,800.2
AL-003,2014,789.2
AL-003,2015,824
AL-003,2016,826.8999999999999
AL-003,2017,826.5
AL-003,2018,816.9
AL-003,2019,826
AL-003,2020,826.1999999999999
AL-005,2004,776.5999999999999
AL-005,2005,777.5
AL-005,2006,789.7
AL-005,2007,788.1
AL-005,2008,776.8
AL-005,2009,773.5999999999999
AL-005,2010,767.1999999999999
AL-005,2011,782.9999999999999
AL-005,2012,794.2
AL-005,2013,775.4999999999999
AL-005,2014,764.8000000000001
AL-005,2015,797.4
AL-005,2016,802.8000000000001
AL-005,2017,802.8000000000001
AL-005,2018,790.6000000000001
AL-005,2019,803.3
AL-005,2020,793.3
AL-007,2004,757.5
AL-007,2005,757.4
AL-007,2006,768.1
AL-007,2007,770.3000000000001
AL-007,2008,754.2000000000002
AL-007,2009,751.8000000000001
AL-007,2010,750.2
AL-007,2011,761.6
AL-007,2012,775.7
AL-007,2013,745.4000000000001
AL-007,2014,739.4000000000001
AL-007,2015,767.9
AL-007,2016,774.7000000000002
AL-007,2017,770.7
AL-007,2018,766.6999999999999
AL-007,2019,778.6
AL-007,2020,768.3
AL-009,2004,736.2
AL-009,2005,736.0999999999999
AL-009,2006,744.3
AL-009,2007,754.3
AL-009,2008,730.9000000000002
AL-009,2009,727.7999999999998
AL-009,2010,730.5
AL-009,2011,743
AL-009,2012,760.9000000000001
AL-009,2013,723.3
AL-009,2014,719.3000000000001
AL-009,2015,749.2
AL-009,2016,766.4000000000001
AL-009,2017,756.5
AL-009,2018,749.6999999999999
AL-009,2019,762.9000000000002
AL-009,2020,751.5999999999999
AL-011,2004,771.6999999999999
AL-011,2005,770.6999999999999
AL-011,2006,782.5
AL-011,2007,781.8000000000001
AL-011,2008,768.3999999999999
AL-011,2009,768.7
AL-011,2010,760.6
AL-011,2011,776.6999999999999
AL-011,2012,786.4000000000001
AL-011,2013,765.9
AL-011,2014,757.1
AL-011,2015,794.2
AL-011,2016,801.4
AL-011,2017,795.9000000000001
AL-011,2018,784.0999999999999
AL-011,2019,798.8
AL-011,2020,790.9
AL-013,2004,769.8000000000001
AL-013,2005,772
AL-013,2006,781.8000000000001
AL-013,2007,778.9
AL-013,2008,766.8
AL-013,2009,767.4999999999999
AL-013,2010,763.9999999999999
AL-013,2011,778.7
AL-013,2012,786.8
AL-013,2013,768.6
AL-013,2014,759.9000000000001
AL-013,2015,794.3
AL-013,2016,797.8999999999999
AL-013,2017,797.6
AL-013,2018,790.3999999999999
AL-013,2019,805.9
