CountyFIPS,Year,InsuranceCoverage
1003,2010,17.8
1015,2010,14
1043,2010,15.6
1049,2010,16.3
1051,2010,10.9
1055,2010,17.5
1069,2010,14.9
1073,2010,14.1
1077,2010,11.9
1081,2010,12.6
1083,2010,13
1089,2010,12.5
1095,2010,17.5
1097,2010,16.6
1101,2010,13.8
1103,2010,16.9
1115,2010,10.7
1117,2010,10.7
1121,2010,13.9
1125,2010,15.3
1127,2010,15.4
2020,2010,16.6
2090,2010,14.9
2170,2010,18.6
4001,2010,24.8
4003,2010,12.3
4005,2010,19.9
4013,2010,17.1
4015,2010,16.6
4017,2010,15.4
4019,2010,15.2
4021,2010,16.5
4025,2010,15.2
4027,2010,19.8
5007,2010,14.9
5031,2010,18.8
5045,2010,15.3
5051,2010,21.3
5069,2010,14.7
5085,2010,18
5119,2010,16.7
5125,2010,12.2
5131,2010,20.6
5143,2010,21
5145,2010,17.5
6001,2010,13.3
6007,2010,15.9
6013,2010,12.6
6017,2010,10.1
6019,2010,20.1
6023,2010,17.9
6025,2010,20.9
6029,2010,22.2
6031,2010,18
6033,2010,19.8
6037,2010,23.5
6039,2010,19.4
6041,2010,8.4
6045,2010,17
6047,2010,19.5
6053,2010,22.4
6055,2010,16.1
6057,2010,16.8
6059,2010,18
6061,2010,9.3
6065,2010,21.1
6067,2010,13.9
6071,2010,21.6
6073,2010,17.6
6075,2010,12.1
6077,2010,17.5
6079,2010,15
6081,2010,11.6
6083,2010,18.3
6085,2010,12
6087,2010,14.2
6089,2010,14.7
6095,2010,12.3
6097,2010,14.4
6099,2010,17.3
6101,2010,20.7
6107,2010,21.9
6111,2010,16.3
6113,2010,11.8
6115,2010,16.8
8001,2010,22.5
8005,2010,16.6
8013,2010,11.5
8031,2010,18.4
8035,2010,5.2
8041,2010,14.9
8059,2010,13.3
8069,2010,12.4
8077,2010,21.8
8101,2010,16.9
8123,2010,16.1
9001,2010,11.7
9003,2010,8.5
9005,2010,6.9
9007,2010,7.6
9009,2010,8.8
